,cmu,ipa,homolog,v_or_c,sonority,manner,placerough,place,voicing,position,height,voweltype,voicingpair,lang,count
0,sil,,sil,,,,,,,,,,,de,251017
1,d,d,D,consonant,1: obstruents,plosive,,dental/alveolar,voiced,,,,t,de,377142
2,i,iː,IY,vowel,3: vowel,vowel,,,,front,close,monophthong,,de,294326
3,S,ʃ,SH,consonant,1: obstruents,fricative,,postalveolar/palatal,voiceless,,,,ʃ,de,159775
4,p,p,P,consonant,1: obstruents,plosive,,labial,voiceless,,,,p,de,120201
5,),ɛː,),vowel,3: vowel,vowel,,,,front,mid,monophthong,,de,22280
6,@,ə,AH,vowel,3: vowel,vowel,,,,central,mid,monophthong,,de,793328
7,r,r,R,consonant,2: nasal/approximant,approximant,,postalveolar/palatal,,,,,,de,702025
8,v,v,V,consonant,1: obstruents,fricative,,labial,voiced,,,,f,de,197569
9,e,eː,EE,vowel,3: vowel,vowel,,,,front,mid,monophthong,,de,219011
10,n,n,N,consonant,2: nasal/approximant,nasal,,dental/alveolar,,,,,,de,904755
11,z,z,Z,consonant,1: obstruents,fricative,,dental/alveolar,voiced,,,,s,de,185266
12,I,ɪ,IH,vowel,3: vowel,vowel,,,,front,close,monophthong,,de,387302
13,x,x,X,consonant,1: obstruents,fricative,,postalveolar/palatal,voiceless,,,,,de,240338
14,E,ɛ,EH,vowel,3: vowel,vowel,,,,front,mid,monophthong,,de,251002
15,l,l,L,consonant,2: nasal/approximant,approximant,,dental/alveolar,,,,,,de,347748
16,W,aɪ̯,AI,vowel,3: vowel,vowel,,,,,,diphtong,,de,205973
17,t,t,T,consonant,1: obstruents,plosive,,dental/alveolar,voiceless,,,,t,de,734838
18,m,m,M,consonant,2: nasal/approximant,nasal,,labial,,,,,,de,276648
19,g,ɡ,G,consonant,1: obstruents,plosive,,velar/uvular,voiced,,,,k,de,182517
20,s,s,S,consonant,1: obstruents,fricative,,dental/alveolar,voiceless,,,,s,de,353807
21,f,f,F,consonant,1: obstruents,fricative,,labial,voiceless,,,,f,de,237297
22,U,ʊ,UH,vowel,3: vowel,vowel,,,,back,close,monophthong,,de,144512
23,sp,,sp,,,,,,,,,,,de,332874
24,h,h,HH,consonant,1: obstruents,fricative,,glottal,voiceless,,,,,de,112794
