cmu,ipa,homolog,v_or_c,sonority,manner,placerough,place,voicing,position,height,voweltype,voicingpair
sil,,sil,,,,,,,,,,
d,d,D,consonant,1: obstruents,plosive,,dental/alveolar,voiced,,,,t
i,iː,IY,vowel,3: vowel,vowel,,,,front,close,monophthong,
S,ʃ,SH,consonant,1: obstruents,fricative,,postalveolar/palatal,voiceless,,,,ʃ
p,p,P,consonant,1: obstruents,plosive,,labial,voiceless,,,,p
),ɛː,),vowel,3: vowel,vowel,,,,front,mid,monophthong,
@,ə,AH,vowel,3: vowel,vowel,,,,central,mid,monophthong,
r,r,R,consonant,2: nasal/approximant,approximant,,postalveolar/palatal,,,,,
v,v,V,consonant,1: obstruents,fricative,,labial,voiced,,,,f
e,eː,EE,vowel,3: vowel,vowel,,,,front,mid,monophthong,
n,n,N,consonant,2: nasal/approximant,nasal,,dental/alveolar,,,,,
z,z,Z,consonant,1: obstruents,fricative,,dental/alveolar,voiced,,,,s
I,ɪ,IH,vowel,3: vowel,vowel,,,,front,close,monophthong,
x,x,X,consonant,1: obstruents,fricative,,postalveolar/palatal,voiceless,,,,
E,ɛ,EH,vowel,3: vowel,vowel,,,,front,mid,monophthong,
l,l,L,consonant,2: nasal/approximant,approximant,,dental/alveolar,,,,,
W,aɪ̯,AI,vowel,3: vowel,vowel,,,,,,diphtong,
t,t,T,consonant,1: obstruents,plosive,,dental/alveolar,voiceless,,,,t
m,m,M,consonant,2: nasal/approximant,nasal,,labial,,,,,
g,ɡ,G,consonant,1: obstruents,plosive,,velar/uvular,voiced,,,,k
s,s,S,consonant,1: obstruents,fricative,,dental/alveolar,voiceless,,,,s
f,f,F,consonant,1: obstruents,fricative,,labial,voiceless,,,,f
U,ʊ,UH,vowel,3: vowel,vowel,,,,back,close,monophthong,
sp,,sp,,,,,,,,,,
h,h,HH,consonant,1: obstruents,fricative,,glottal,voiceless,,,,
a,aː,AA,vowel,3: vowel,vowel,,,,central,open,monophthong,
b,b,B,consonant,1: obstruents,plosive,,labial,voiced,,,,p
&,a,&,vowel,3: vowel,vowel,,,,central,open,monophthong,
N,ŋ,NG,consonant,2: nasal/approximant,nasal,,velar/uvular,,,,,
k,k,K,consonant,1: obstruents,plosive,,velar/uvular,voiceless,,,,k
j,j,Y,consonant,2: nasal/approximant,approximant,,postalveolar/palatal,,,,,
o,oː,OO,vowel,3: vowel,vowel,,,,back,mid,monophthong,
Y,ʏ,Y,vowel,3: vowel,vowel,,,,front,close,monophthong,
y,yː,y,vowel,3: vowel,vowel,,,,front,close,monophthong,
B,aʊ̯,AU,vowel,3: vowel,vowel,,,,,,diphtong,
=,ts,=,consonant,1: obstruents,affricate,,dental/alveolar,voiceless,,,,
u,uː,UW,vowel,3: vowel,vowel,,,,back,close,monophthong,
O,ɔ,AO,vowel,3: vowel,vowel,,,,back,mid,monophthong,
|,øː,|,vowel,3: vowel,vowel,,,,front,mid,monophthong,
c,,cinq,,,,,,,,,,
Z,ʒ,ZH,consonant,1: obstruents,fricative,,postalveolar/palatal,voiced,,,,ʃ
eins,,EY,,,,,,,,,,
X,ɔʏ̯,OI,vowel,3: vowel,vowel,,,,,,diphtong,
drei,,ER,,,,,,,,,,
/,œ,/,vowel,3: vowel,vowel,,,,front,mid,monophthong,
+,pf,PF,consonant,1: obstruents,affricate,,labial,voiceless,,,,
J,tʃ,CH,consonant,1: obstruents,affricate,,postalveolar/palatal,voiceless,,,,
~,,ons,,,,,,,,,,
q,,@,,,,,,,,,,
{,,AE,,,,,,,,,,
sechs,,AW,,,,,,,,,,
spn,,spn,,,,,,,,,,
null,,cinq,,,,,,,,,,
_,,EY,,,,,,,,,,
vier,,OY,,,,,,,,,,
