cmu,ipa,homolog,v_or_c,sonority,manner,placerough,place,voicing,position,height,voweltype,voicingpair
l,l,L,consonant,2: nasal/approximant,approximant,,dental/alveolar,,,,,
a,a,AA,vowel,3: vowel,vowel,,,,central,open,monophthong,
p,p,P,consonant,1: obstruents,plosive,labial,labial,voiceless,,,,p
R,ʁ,R,consonant,2: nasal/approximant,approximant,,velar/uvular,,,,,
O,ɔ,AO,vowel,3: vowel,vowel,,,,back,mid,monophthong,
e,e,EE,vowel,3: vowel,vowel,,,,front,mid,monophthong,
s,s,S,consonant,1: obstruents,fricative,coronal,dental/alveolar,voiceless,,,,s
t,t,T,consonant,1: obstruents,plosive,coronal,dental/alveolar,voiceless,,,,t
m,m,M,consonant,2: nasal/approximant,nasal,labial,labial,,,,,
d,d,D,consonant,1: obstruents,plosive,coronal,dental/alveolar,voiced,,,,t
o,o,OO,vowel,3: vowel,vowel,,,,back,mid,monophthong,
deux,ø,|,vowel,3: vowel,vowel,,,,front,mid,monophthong,
j,j,Y,consonant,2: nasal/approximant,approximant,,postalveolar/palatal,,,,,
E,ɛ,EH,vowel,3: vowel,vowel,,,,front,mid,monophthong,
u,u,UW,vowel,3: vowel,vowel,,,,back,close,monophthong,
^,ə,AH,vowel,3: vowel,vowel,,,,central,mid,monophthong,
n,n,N,consonant,2: nasal/approximant,nasal,coronal,dental/alveolar,,,,,
i,i,IY,vowel,3: vowel,vowel,,,,front,close,monophthong,
@,ɑ̃,@,vowel,3: vowel,vowel,,,,back,open,nasal,
y,y,y,vowel,3: vowel,vowel,,,,front,close,monophthong,
cinq,ɛ̃,cinq,vowel,3: vowel,vowel,,,,front,open,nasal,
k,k,K,consonant,1: obstruents,plosive,dorsal,velar/uvular,voiceless,,,,k
un,œ̃,un,vowel,3: vowel,vowel,,,,front,open,nasal,
f,f,F,consonant,1: obstruents,fricative,labial,labial,voiceless,,,,f
w,w,W,consonant,2: nasal/approximant,approximant,,velar/uvular,,,,,
g,g,G,consonant,1: obstruents,plosive,dorsal,velar/uvular,voiced,,,,k
N,ɔ̃,ons,vowel,3: vowel,vowel,,,,back,mid,nasal,
z,z,Z,consonant,1: obstruents,fricative,coronal,dental/alveolar,voiced,,,,s
huit,ɥ,huit,consonant,2: nasal/approximant,approximant,,postalveolar/palatal,,,,,
v,v,V,consonant,1: obstruents,fricative,labial,labial,voiced,,,,f
S,ʃ,SH,consonant,1: obstruents,fricative,,postalveolar/palatal,voiceless,,,,ʃ
neuf,œ,/,vowel,3: vowel,vowel,,,,front,mid,monophthong,
Z,ʒ,ZH,consonant,1: obstruents,fricative,,postalveolar/palatal,voiced,,,,ʃ
b,b,B,consonant,1: obstruents,plosive,labial,labial,voiced,,,,p
G,,NG,,,,,,,,,,
x,,X,,,,,,,,,,
