,word
0,
1,die
2,ist
3,der
4,das
5,nicht
6,es
7,in
8,sie
9,ich
10,ein
11,und
12,sich
13,von
14,den
15,zu
16,auf
17,eine
18,mit
19,man
20,hat
21,du
22,wir
23,noch
24,an
25,im
26,sind
27,wie
28,dem
29,für
30,hauptstadt
31,auch
32,aus
33,nach
34,was
35,so
36,wird
37,kann
38,er
39,einen
40,als
41,wenn
42,aber
43,werden
44,nur
45,haben
46,war
47,dass
48,schon
49,mal
50,muss
51,mir
52,bei
53,um
54,am
55,ihr
56,gibt
57,zum
58,des
59,sein
60,immer
61,einer
62,mehr
63,einem
64,doch
65,jetzt
66,mich
67,alle
68,hier
69,vor
70,oder
71,habe
72,wurde
73,bitte
74,wieder
75,uns
76,dann
77,können
78,kommt
79,da
80,wer
81,durch
82,etwas
83,über
84,ja
85,diese
86,keine
87,zur
88,viel
89,heute
90,geht
91,bis
92,sollte
93,gut
94,nichts
95,sehr
96,viele
97,alles
98,mein
99,seine
100,kein
101,einfach
102,vom
103,damit
104,wo
105,dir
106,lassen
107,hast
108,beim
109,ihre
110,dieser
111,zwei
112,gerade
113,will
114,machen
115,ab
116,dich
117,heisst
118,denn
119,kannst
120,meine
121,macht
122,eines
123,hatte
124,ohne
125,nun
126,müssen
127,erst
128,zwischen
129,ganz
130,unter
131,lange
132,wäre
133,zeit
134,soll
135,weil
136,ins
137,bereits
138,lässt
139,stadt
140,gegen
141,euch
142,einmal
143,dabei
144,möchte
145,schnell
146,dies
147,ihm
148,anderen
149,dieses
150,würde
151,eigentlich
152,sehen
153,steht
154,wirklich
155,ihn
156,selbst
157,gehen
158,jeder
159,weiss
160,ihren
161,gar
162,nie
163,darf
164,sieht
165,suche
166,ihnen
167,bin
168,hätte
169,also
170,genau
171,waren
172,diesem
173,fahren
174,drei
175,weg
176,warum
177,herr
178,seinen
179,wurden
180,andere
181,wollte
182,liegt
183,gleich
184,menschen
185,kommen
186,frau
187,könnte
188,bist
189,ob
190,wohl
191,keinen
192,wollen
193,besser
194,nehmen
195,tag
196,unsere
197,konnte
198,ihrer
199,s
200,dazu
201,ende
202,jemand
203,etwa
204,läuft
205,paar
206,davon
207,neue
208,einige
209,letzte
210,lass
211,dein
212,deine
213,natürlich
214,seit
215,solche
216,morgen
217,dafür
218,musste
219,essen
220,sicher
221,oft
222,niemand
223,sondern
224,weiter
225,leider
226,ganze
227,welche
228,wissen
229,kurz
230,licht
231,uhr
232,sonst
233,diesen
234,seinem
235,wasser
236,vier
237,erde
238,sagen
239,meinen
240,fünf
241,meiner
242,dort
243,sollten
244,zug
245,gab
246,braucht
247,vielleicht
248,stehen
249,darauf
250,gehört
251,jahren
252,minuten
253,stellen
254,statt
255,sagt
256,tun
257,stets
258,jeden
259,fährt
260,problem
261,wann
