,word
0,
1,de
2,la
3,est
4,à
5,le
6,l'
7,il
8,un
9,les
10,je
11,cent
12,vous
13,rue
14,et
15,des
16,d'
17,en
18,pas
19,du
20,que
21,quatre
22,vingt
23,c'
24,une
25,pour
26,deux
27,ne
28,ce
29,au
30,nous
31,a
32,monsieur
33,n'
34,dix
35,zéro
36,trois
37,mille
38,numéro
39,qu'
40,amendement
41,j'
42,elle
43,sur
44,soixante
45,dans
46,s'
47,parole
48,sept
49,on
50,qui
51,cinq
52,huit
53,se
54,trente
55,plus
56,six
57,y
58,tu
59,ai
60,bien
61,cents
62,neuf
63,quarante
64,cinquante
65,mais
66,était
67,soutenir
68,madame
69,tout
70,par
71,son
72,cette
73,me
74,ils
75,saint
76,avec
77,donc
78,lui
79,route
80,sont
81,mon
82,ça
83,là
84,suis
85,moi
86,chemin
87,fait
88,votre
89,sa
90,cela
91,m'
92,avait
93,si
94,ces
95,être
96,même
97,comme
98,cet
99,dit
100,aux
101,avenue
102,faire
103,ses
104,avez
105,très
106,été
107,ma
108,temps
109,avis
110,tous
111,peut
112,sans
113,faut
114,va
115,quand
116,peu
117,douze
118,où
119,non
120,jean
121,encore
122,quinze
123,rien
124,quatorze
125,quel
126,elles
127,aussi
128,ont
129,ah
130,oui
131,onze
132,notre
133,leur
134,ici
135,ou
136,treize
137,article
138,autre
139,voilà
140,porte
141,comment
142,avons
143,amendements
144,êtes
145,alors
146,sous
147,gouvernement
148,seize
149,allée
150,t
151,grand
152,impasse
153,mes
154,sûr
155,chose
156,trop
157,place
158,commission
159,bon
160,pourquoi
161,toujours
162,homme
163,heure
164,avoir
165,dire
166,ministre
167,maison
168,père
169,nos
170,défavorable
171,leurs
172,as
173,toi
174,petit
175,aujourd
176,hui
177,entre
178,te
179,beaucoup
180,aller
181,sera
182,es
183,heures
184,jamais
185,quelle
186,autres
187,quelques
188,moins
189,sais
190,après
191,ta
192,quoi
193,voir
194,maintenant
195,vais
196,fois
197,femme
198,point
199,train
200,t'
201,travail
202,étaient
203,déjà
204,vingts
205,fut
206,mère
207,boulevard
208,grande
209,veux
210,quelque
211,ton
212,général
213,mal
214,oh
215,demande
216,combien
217,paris
218,puis
219,mieux
220,vos
221,aime
222,plusieurs
223,monde
224,personne
225,avant
226,soit
227,sommes
228,assez
229,<unk>
230,bas
231,eu
232,avais
233,jours
234,question
235,bis
236,depuis
237,gens
238,toute
239,fille
240,premier
241,fort
242,pierre
243,celui
244,bonne
245,eh
246,soir
247,vu
248,ainsi
249,loi
250,effet
251,jour
252,état
253,france
254,doit
255,rapporteur
256,serait
257,soeur
258,ans
259,voix
260,allez
261,toutes
262,également
263,tête
264,agit
265,vrai
266,ci
267,droite
268,contre
269,or
270,aimé
271,choses
272,lotissement
273,enfants
274,chez
275,enfin
276,raison
277,sujet
278,hier
279,eau
280,bois
281,omer
282,fond
283,ailleurs
284,fit
285,voulez
286,prendre
287,jeune
288,coup
289,gauche
290,yeux
291,table
292,cher
293,petite
294,avaient
295,demain
296,loin
297,moment
298,président
299,groupe
300,docteur
301,faites
302,eux
303,matin
304,part
305,plait
306,crois
307,louis
308,dis
309,mois
310,chambre
311,vers
312,beau
313,enfant
314,main
315,étais
316,air
317,sens
318,devant
319,pays
320,dieu
321,problème
322,jusqu
323,ville
324,favorable
325,parler
326,cas
327,belle
328,sait
329,vie
330,peux
331,compte
332,ceux
333,veut
334,paul
335,identiques
336,pendant
337,merci
338,droit
339,allons
340,aura
341,argent
342,nouveau
343,vieux
344,fils
345,seul
346,coeur
347,nuit
348,savez
349,tiens
350,celle
351,ami
352,femmes
353,besoin
354,venu
355,ni
356,première
357,voiture
358,marie
359,françois
360,retire
361,viens
362,numéros
363,peur
364,reste
365,aurait
366,vient
367,pouvez
368,tour
369,abord
370,pourtant
371,mesure
372,roi
373,fais
374,semble
375,vraiment
376,car
377,souvent
378,vite
379,sainte
380,savoir
381,vois
382,mot
383,nom
384,charles
385,venir
386,pont
387,personnes
388,collègues
389,pense
390,donne
391,haut
392,pris
393,près
394,école
395,maisons
396,terre
397,jacques
398,débat
399,dernier
400,dont
401,tel
402,français
403,ensemble
404,juste
405,plan
406,important
407,cependant
408,peine
409,appelle
410,mains
411,henri
412,bras
413,mettre
414,rapport
415,bout
416,frère
417,entendu
418,minutes
419,mort
420,lettre
421,donner
422,partie
423,longtemps
424,parle
425,idée
426,accord
427,eut
428,albert
429,raisons
430,famille
431,andré
432,seulement
433,livre
434,année
435,dites
436,tard
437,voici
438,budget
439,nouvelle
440,hommes
441,exemple
442,dessus
443,mer
444,clos
445,doute
446,texte
447,proposition
448,autant
449,grands
450,aucun
451,nombre
452,tant
453,pauvre
454,trouve
455,mari
456,propos
457,champ
458,gars
459,vas
460,partir
461,suite
462,dispositif
463,mis
464,côté
465,politique
466,mademoiselle
467,deuxième
468,instant
469,chaque
470,collègue
471,quelqu
472,conseil
473,arrivé
474,garde
475,certains
476,allait
477,cause
478,surtout
479,situation
480,demanda
481,capitaine
482,parce
483,passe
484,georges
485,passer
486,philippe
487,manger
488,seule
489,gap
490,ensuite
491,répondit
492,pouvoir
493,retirer
494,saisi
495,martin
496,soleil
497,entendre
498,aimerais
499,garçon
500,bancs
501,pouvait
502,mêmes
503,dernière
504,faisait
505,cours
506,feu
507,lieu
508,château
509,demi
510,croix
511,pu
512,passé
513,telle
514,tes
515,laurent
516,fenêtre
517,parlez
518,midi
519,petits
520,dès
521,réalité
522,esprit
523,silence
524,possible
525,questions
526,font
527,chien
528,propose
529,aucune
530,contraire
531,nouvelles
532,présidente
533,long
534,fin
535,dame
536,perdu
537,chers
538,chaises
539,paraît
540,bains
541,journal
542,certain
543,pain
544,défendu
545,jeunes
546,vue
547,faudra
548,scène
549,comte
550,emploi
551,suppression
552,salle
553,café
554,l
555,voudrais
556,réponse
557,comprends
558,grandes
559,blanc
560,affaires
561,breton
562,eût
563,serai
564,arrive
565,projet
566,clair
567,nécessaire
568,secrétaire
569,michel
570,souhaite
571,vérité
572,pied
573,cheval
574,attention
575,maître
576,évidemment
577,simple
578,semaine
579,travailler
580,objectif
581,trouver
582,froid
583,parti
584,frères
585,amour
586,rose
587,manière
588,presque
589,dominique
590,chacun
591,vont
592,petites
593,euros
594,avenir
595,aurais
596,code
597,malade
598,rendre
599,lès
600,puisque
601,entreprises
602,vin
603,retirez
604,absolument
605,rouge
606,force
607,vise
608,abbé
609,bureau
610,savait
611,marquis
612,acheter
613,livres
614,rapporteure
615,donné
616,histoire
617,empereur
618,oeil
619,importe
620,prie
621,affaire
622,ordre
623,sort
624,viendra
625,laisse
626,prix
627,supprimer
628,voyez
629,attendre
630,séance
631,plutôt
632,voulait
633,chaise
634,plaisir
635,espère
636,peuple
637,choix
638,peuvent
639,pourrait
640,mots
641,quant
642,passage
643,joseph
644,faute
645,discussion
646,guerre
647,façon
648,venait
649,présent
650,milliards
651,difficile
652,salon
653,écria
654,rectifié
655,jardin
656,avions
657,rester
658,travaille
659,frédéric
660,vaut
661,lire
662,duc
663,existe
664,reprit
665,conclure
666,denis
667,julien
668,tian
669,mauvais
670,pouvons
671,impôt
672,nationale
673,jeu
674,montre
675,disait
676,troisième
677,voit
678,santé
679,laquelle
680,anglais
681,devait
682,bientôt
683,lucien
684,cheminée
685,attends
686,âme
687,sortir
688,dois
689,venez
690,lit
691,cour
692,ubu
693,applaudissements
694,armée
695,étions
696,résidence
697,remercie
698,devons
699,mets
700,seront
701,marché
702,aide
703,doivent
704,elvire
705,face
706,autour
707,demandé
708,âge
709,manosque
710,parfois
711,satisfait
712,public
713,marc
714,rendez
715,dehors
716,mouvement
717,niveau
718,côte
719,extrêmement
720,courage
721,ruelle
722,chaud
723,ouvre
724,forme
725,entend
726,milieu
727,bruit
728,envie
729,amis
730,toutefois
731,invite
732,partout
733,ouvert
734,objet
735,entends
736,compris
737,oncle
738,fallait
739,an
740,voie
741,points
742,service
743,confiance
744,fini
745,fatigué
746,joli
747,vieille
748,particulièrement
749,certaines
750,années
751,liberté
752,plein
753,répondre
754,prenez
755,demander
756,forte
757,nicolas
758,vacances
759,économique
760,chercher
761,mur
762,ouvrir
763,bernard
764,laissez
765,publique
766,bons
767,éléphants
768,parlé
769,pourcent
770,taux
771,langue
772,ancien
773,jolie
774,furent
775,honneur
776,connais
777,verre
778,rené
779,voyons
780,mont
781,faudrait
782,tenir
783,germain
784,connu
785,proposons
786,parents
787,mange
788,prends
789,pose
790,vent
791,quai
792,cité
793,rédaction
794,jouer
795,derrière
796,nombreux
797,laisser
798,téléphone
799,chiens
800,papa
801,commence
802,coûte
803,rappeler
804,heureux
805,disposition
806,arrête
807,fête
808,viennent
809,aurez
810,apporter
811,rédactionnel
812,retard
813,titre
814,précision
815,loire
816,fera
817,mariage
818,écrit
819,majorité
820,reçu
821,campagne
822,surprise
823,patrick
824,prêt
825,sorte
826,nature
827,ca
828,arnaud
829,ciel
830,opposition
831,croissance
832,retiré
833,trouvé
834,auguste
835,simplement
836,tient
837,voulu
838,étiez
839,page
840,digne
841,bonheur
842,aimait
843,chapeau
844,retrait
845,prend
846,venus
847,écrire
848,assemblée
849,dépenses
850,finances
851,déjeuner
852,quartier
853,quart
854,voter
855,entrer
856,porter
857,papier
858,antoine
859,désormais
860,médecin
861,jaunes
862,pieds
863,comprendre
864,pré
865,lettres
866,inscrit
867,entrée
868,journée
869,saisie
870,notamment
871,république
872,croire
873,libre
874,chapelle
875,moulin
876,certainement
877,parfaitement
878,conséquent
879,faux
880,genre
881,facile
882,revenir
883,défaut
884,claude
885,système
886,entreprise
887,oeuvre
888,content
889,intérêt
890,prise
891,louise
892,théâtre
893,cheveux
894,hôtel
895,figure
896,marche
897,tardy
898,joie
899,malgré
900,mangé
901,pupponi
902,gilles
903,regarde
904,écoutez
905,concerne
906,dimanche
907,corps
908,effort
909,impossible
910,étienne
911,noirs
912,luc
913,montée
914,rappelle
915,position
916,bourg
917,appel
918,sécurité
919,sang
920,moyen
921,animaux
922,francs
923,adresse
924,chef
925,mesures
926,soldats
927,aviez
928,générale
929,étant
930,seconde
931,monseigneur
932,vienne
933,vit
934,quentin
