,cmu,ipa,homolog,v_or_c,sonority,manner,placerough,place,voicing,position,height,voweltype,voicingpair,lang,count,select,obstruents,pca_0,pca_1,pca_2,pca_o_0,pca_o_1,pca_o_2
0,sil, - ,sil, - , - , - , - , - , - , - , - , - , - ,de,251017,False,False,0.07573038,-0.099723786,-0.13941157,0.10465214,-0.1475861,-0.007761293
1,d,d,D,consonant,1: obstruents,plosive, - ,dental/alveolar,voiced, - , - , - ,t,de,377142,True,True,0.4973364,0.44256666,-0.19345948,0.54116666,0.35701227,0.21098855
2,i,iː,IY,vowel,3: vowel,vowel, - , - , - ,front,close,monophthong, - ,de,294326,True,False,0.4911462,0.47150806,-0.0537474,0.5313604,0.38449222,0.013692121
3,S,ʃ,SH,consonant,1: obstruents,fricative, - ,postalveolar/palatal,voiceless, - , - , - ,ʃ,de,159775,True,True,0.44429186,0.46671483,-0.34994024,0.49404252,0.41748372,-0.4062144
4,p,p,P,consonant,1: obstruents,plosive, - ,labial,voiceless, - , - , - ,p,de,120201,True,True,0.44517183,0.49326116,-0.2364846,0.51652616,0.43893966,0.30893895
5,),ɛː,),vowel,3: vowel,vowel, - , - , - ,front,mid,monophthong, - ,de,22280,True,False,0.45693752,0.45050666,0.10316842,0.49686453,0.34447038,0.049886357
6,@,ə,AH,vowel,3: vowel,vowel, - , - , - ,central,mid,monophthong, - ,de,793328,True,False,0.53648025,0.49822724,0.20563866,0.57585794,0.3896463,0.060905393
7,r,r,R,consonant,2: nasal/approximant,approximant, - ,postalveolar/palatal, - , - , - , - , - ,de,702025,True,False,0.5097254,0.5313215,0.20293029,0.5688238,0.43731275,0.073203236
8,v,v,V,consonant,1: obstruents,fricative, - ,labial,voiced, - , - , - ,f,de,197569,True,True,0.4946701,0.4501289,-0.15074009,0.55799896,0.3640911,0.3039176
9,e,eː,EE,vowel,3: vowel,vowel, - , - , - ,front,mid,monophthong, - ,de,219011,True,False,0.49223274,0.5103947,0.1156499,0.5346882,0.39433044,0.11623705
10,n,n,N,consonant,2: nasal/approximant,nasal, - ,dental/alveolar, - , - , - , - , - ,de,904755,True,False,0.51454544,0.4478168,0.06390799,0.5610776,0.35348126,0.10629653
11,z,z,Z,consonant,1: obstruents,fricative, - ,dental/alveolar,voiced, - , - , - ,s,de,185266,True,True,0.45306683,0.44262612,-0.28873256,0.49428526,0.3866752,-0.21908037
12,I,ɪ,IH,vowel,3: vowel,vowel, - , - , - ,front,close,monophthong, - ,de,387302,True,False,0.5120313,0.46610752,0.112435564,0.53434783,0.35356203,-0.0062977886
13,x,x,X,consonant,1: obstruents,fricative, - ,postalveolar/palatal,voiceless, - , - , - , - ,de,240338,True,True,0.46442494,0.4388408,-0.23611602,0.5114298,0.38359237,-0.25126156
14,E,ɛ,EH,vowel,3: vowel,vowel, - , - , - ,front,mid,monophthong, - ,de,251002,True,False,0.48544294,0.5101337,0.21563967,0.5237247,0.39859644,0.038888454
15,l,l,L,consonant,2: nasal/approximant,approximant, - ,dental/alveolar, - , - , - , - , - ,de,347748,True,False,0.48849523,0.48840618,0.01144875,0.53927547,0.3885355,0.06267948
16,W,aɪ̯,AI,vowel,3: vowel,vowel, - , - , - , - , - ,diphtong, - ,de,205973,True,False,0.44818175,0.48907495,0.19715251,0.5160672,0.39113936,0.030454915
17,t,t,T,consonant,1: obstruents,plosive, - ,dental/alveolar,voiceless, - , - , - ,t,de,734838,True,True,0.4995314,0.51626956,-0.34022108,0.54381937,0.47147217,0.0077771456
18,m,m,M,consonant,2: nasal/approximant,nasal, - ,labial, - , - , - , - , - ,de,276648,True,False,0.48212695,0.4414722,0.06111425,0.5430974,0.34685642,0.27572697
19,g,ɡ,G,consonant,1: obstruents,plosive, - ,velar/uvular,voiced, - , - , - ,k,de,182517,True,True,0.4501756,0.47202313,-0.13917778,0.5173102,0.37451062,0.29884467
20,s,s,S,consonant,1: obstruents,fricative, - ,dental/alveolar,voiceless, - , - , - ,s,de,353807,True,True,0.4672769,0.43315154,-0.3545343,0.50790596,0.39929444,-0.32884836
21,f,f,F,consonant,1: obstruents,fricative, - ,labial,voiceless, - , - , - ,f,de,237297,True,True,0.47164482,0.4923247,-0.37795475,0.5281081,0.4455013,-0.030519217
22,U,ʊ,UH,vowel,3: vowel,vowel, - , - , - ,back,close,monophthong, - ,de,144512,True,False,0.48619717,0.44705763,0.32084277,0.5430952,0.3449571,0.092381425
23,sp, - ,sp, - , - , - , - , - , - , - , - , - , - ,de,332874,False,False,-0.10054654,-0.17708066,-0.20376983,-0.08130104,-0.19858587,-0.030130614
24,h,h,HH,consonant,1: obstruents,fricative, - ,glottal,voiceless, - , - , - , - ,de,112794,True,True,0.49426305,0.44776818,-0.05215183,0.5619868,0.37838668,-0.024843264
25,a,aː,AA,vowel,3: vowel,vowel, - , - , - ,central,open,monophthong, - ,de,188265,True,False,0.47223294,0.5046096,0.28152853,0.5470467,0.4024178,0.03600095
26,b,b,B,consonant,1: obstruents,plosive, - ,labial,voiced, - , - , - ,p,de,173622,True,True,0.45223856,0.4709811,-0.09832617,0.523158,0.37941203,0.53899074
27,&,a,&,vowel,3: vowel,vowel, - , - , - ,central,open,monophthong, - ,de,376986,True,False,0.46305594,0.5051535,0.27510095,0.52683467,0.40492582,0.021165207
28,N,ŋ,NG,consonant,2: nasal/approximant,nasal, - ,velar/uvular, - , - , - , - , - ,de,65968,True,False,0.42480665,0.3734806,0.09432302,0.48720783,0.2788171,0.11907132
29,k,k,K,consonant,1: obstruents,plosive, - ,velar/uvular,voiceless, - , - , - ,k,de,227163,True,True,0.47719145,0.4842825,-0.21107863,0.541099,0.42581245,0.08378945
30,j,j,Y,consonant,2: nasal/approximant,approximant, - ,postalveolar/palatal, - , - , - , - , - ,de,24693,True,False,0.47630477,0.42577106,-0.16913024,0.52235526,0.34242055,-0.071839936
31,o,oː,OO,vowel,3: vowel,vowel, - , - , - ,back,mid,monophthong, - ,de,136113,True,False,0.48878723,0.44762412,0.2861692,0.55575407,0.35036263,0.009157059
32,Y,ʏ,Y,vowel,3: vowel,vowel, - , - , - ,front,close,monophthong, - ,de,29888,True,False,0.49701923,0.40917537,0.27199253,0.5166481,0.31909627,0.07057214
33,y,yː,y,vowel,3: vowel,vowel, - , - , - ,front,close,monophthong, - ,de,42017,True,False,0.47551423,0.41887268,0.0133020505,0.50671035,0.337842,0.08344161
34,B,aʊ̯,AU,vowel,3: vowel,vowel, - , - , - , - , - ,diphtong, - ,de,100695,True,False,0.419462,0.46683556,0.22483769,0.4998613,0.36644903,0.033246573
35,=,ts,=,consonant,1: obstruents,affricate, - ,dental/alveolar,voiceless, - , - , - , - ,de,142579,True,True,0.4672306,0.44595027,-0.37328875,0.5055143,0.41432053,-0.1523241
36,u,uː,UW,vowel,3: vowel,vowel, - , - , - ,back,close,monophthong, - ,de,104364,True,False,0.47052205,0.4483553,0.17479208,0.52473074,0.3527165,0.09924814
37,O,ɔ,AO,vowel,3: vowel,vowel, - , - , - ,back,mid,monophthong, - ,de,127251,True,False,0.44218096,0.4490242,0.3310556,0.50521743,0.3578664,0.004876878
38,|,øː,|,vowel,3: vowel,vowel, - , - , - ,front,mid,monophthong, - ,de,17291,True,False,0.44379094,0.3683949,0.20848963,0.47027797,0.28438047,0.030894607
39,c, - ,cinq, - , - , - , - , - , - , - , - , - , - ,de,94,False,False,0.34978417,0.29853046,-0.047520336,0.40004164,0.22603065,0.025348501
40,Z,ʒ,ZH,consonant,1: obstruents,fricative, - ,postalveolar/palatal,voiced, - , - , - ,ʃ,de,2286,True,True,0.41718027,0.30488953,-0.14790806,0.46744326,0.22708997,-0.1936867
41,eins, - ,EY, - , - , - , - , - , - , - , - , - , - ,de,345,False,False,0.22699946,0.21344016,0.05737915,0.26635057,0.13987109,-0.012428609
42,X,ɔʏ̯,OI,vowel,3: vowel,vowel, - , - , - , - , - ,diphtong, - ,de,27927,True,False,0.40356568,0.4050828,0.31434184,0.46736634,0.31340107,0.07204287
43,drei, - ,ER, - , - , - , - , - , - , - , - , - , - ,de,37,False,False,0.08483921,0.2228255,0.072357886,0.13895372,0.16650099,0.020203706
44,/,œ,/,vowel,3: vowel,vowel, - , - , - ,front,mid,monophthong, - ,de,12673,True,False,0.39455763,0.36943853,0.3326197,0.41960576,0.27673998,0.015574703
45,+,pf,PF,consonant,1: obstruents,affricate, - ,labial,voiceless, - , - , - , - ,de,8468,True,True,0.3406109,0.45732182,-0.2722058,0.40507185,0.41458932,0.15513271
46,J,tʃ,CH,consonant,1: obstruents,affricate, - ,postalveolar/palatal,voiceless, - , - , - , - ,de,2957,True,True,0.37565798,0.3884953,-0.2562089,0.4138659,0.35162655,-0.26083577
47,~, - ,ons, - , - , - , - , - , - , - , - , - , - ,de,616,False,False,0.2884247,0.31382608,0.1945528,0.35138926,0.22676632,0.052075557
48,q, - ,@, - , - , - , - , - , - , - , - , - , - ,de,1410,False,False,0.45267746,0.34447408,0.20637377,0.51845866,0.26607567,-0.0028370647
49,{, - ,AE, - , - , - , - , - , - , - , - , - , - ,de,7,False,False,0.15970267,0.23787232,0.046843074,0.2071694,0.16953987,0.08140838
50,sechs, - ,AW, - , - , - , - , - , - , - , - , - , - ,de,20,False,False,0.02540115,0.22746085,0.042633615,0.07402132,0.19011071,-0.0062693236
51,spn, - ,spn, - , - , - , - , - , - , - , - , - , - ,de,15,False,False,0.1393056,-0.7030546,-0.00034156768,0.1294069,-0.73837703,-0.09095786
