,lang,feature,accuracy,permute,z
0,en,sonority,0.8974358974358975,0.0,6.081761020738363
1,en,manner,0.8717948717948718,0.0,8.143478889611012
2,en,voicing,1.0,0.0,3.3658316042112477
3,en,place,0.8333333333333334,0.0,5.628833772062189
4,en,sonority,0.4358974358974359,1.0,
5,en,manner,0.3076923076923077,1.0,
6,en,voicing,0.35294117647058826,1.0,
7,en,place,0.041666666666666664,1.0,
8,en,sonority,0.358974358974359,2.0,
9,en,manner,0.23076923076923078,2.0,
10,en,voicing,0.47058823529411764,2.0,
11,en,place,0.16666666666666666,2.0,
12,en,sonority,0.358974358974359,3.0,
13,en,manner,0.20512820512820512,3.0,
14,en,voicing,0.7647058823529411,3.0,
15,en,place,0.5,3.0,
16,en,sonority,0.3076923076923077,4.0,
17,en,manner,0.20512820512820512,4.0,
18,en,voicing,0.5882352941176471,4.0,
19,en,place,0.20833333333333334,4.0,
20,en,sonority,0.4358974358974359,5.0,
21,en,manner,0.28205128205128205,5.0,
22,en,voicing,0.23529411764705882,5.0,
23,en,place,0.08333333333333333,5.0,
24,en,sonority,0.3076923076923077,6.0,
25,en,manner,0.3076923076923077,6.0,
26,en,voicing,0.29411764705882354,6.0,
27,en,place,0.08333333333333333,6.0,
28,en,sonority,0.4358974358974359,7.0,
29,en,manner,0.15384615384615385,7.0,
30,en,voicing,0.5882352941176471,7.0,
31,en,place,0.125,7.0,
32,en,sonority,0.41025641025641024,8.0,
33,en,manner,0.41025641025641024,8.0,
34,en,voicing,0.47058823529411764,8.0,
35,en,place,0.4166666666666667,8.0,
36,en,sonority,0.4358974358974359,9.0,
37,en,manner,0.20512820512820512,9.0,
38,en,voicing,0.7058823529411765,9.0,
39,en,place,0.25,9.0,
40,en,sonority,0.4358974358974359,10.0,
41,en,manner,0.3076923076923077,10.0,
42,en,voicing,0.4117647058823529,10.0,
43,en,place,0.3333333333333333,10.0,
44,en,sonority,0.5128205128205128,11.0,
45,en,manner,0.38461538461538464,11.0,
46,en,voicing,0.35294117647058826,11.0,
47,en,place,0.16666666666666666,11.0,
48,en,sonority,0.46153846153846156,12.0,
49,en,manner,0.23076923076923078,12.0,
50,en,voicing,0.6470588235294118,12.0,
51,en,place,0.16666666666666666,12.0,
52,en,sonority,0.28205128205128205,13.0,
53,en,manner,0.20512820512820512,13.0,
54,en,voicing,0.5294117647058824,13.0,
55,en,place,0.2916666666666667,13.0,
56,en,sonority,0.5128205128205128,14.0,
57,en,manner,0.38461538461538464,14.0,
58,en,voicing,0.23529411764705882,14.0,
59,en,place,0.08333333333333333,14.0,
60,en,sonority,0.3333333333333333,15.0,
61,en,manner,0.20512820512820512,15.0,
62,en,voicing,0.23529411764705882,15.0,
63,en,place,0.20833333333333334,15.0,
64,en,sonority,0.28205128205128205,16.0,
65,en,manner,0.15384615384615385,16.0,
66,en,voicing,0.4117647058823529,16.0,
67,en,place,0.20833333333333334,16.0,
68,en,sonority,0.28205128205128205,17.0,
69,en,manner,0.28205128205128205,17.0,
70,en,voicing,0.6470588235294118,17.0,
71,en,place,0.25,17.0,
72,en,sonority,0.5384615384615384,18.0,
73,en,manner,0.1282051282051282,18.0,
74,en,voicing,0.47058823529411764,18.0,
75,en,place,0.041666666666666664,18.0,
76,en,sonority,0.38461538461538464,19.0,
77,en,manner,0.3076923076923077,19.0,
78,en,voicing,0.6470588235294118,19.0,
79,en,place,0.041666666666666664,19.0,
80,en,sonority,0.38461538461538464,20.0,
81,en,manner,0.38461538461538464,20.0,
82,en,voicing,0.11764705882352941,20.0,
83,en,place,0.3333333333333333,20.0,
84,en,sonority,0.41025641025641024,21.0,
85,en,manner,0.3333333333333333,21.0,
86,en,voicing,0.4117647058823529,21.0,
87,en,place,0.4166666666666667,21.0,
88,en,sonority,0.3076923076923077,22.0,
89,en,manner,0.20512820512820512,22.0,
90,en,voicing,0.7058823529411765,22.0,
91,en,place,0.041666666666666664,22.0,
92,en,sonority,0.2564102564102564,23.0,
93,en,manner,0.20512820512820512,23.0,
94,en,voicing,0.47058823529411764,23.0,
95,en,place,0.20833333333333334,23.0,
96,en,sonority,0.41025641025641024,24.0,
97,en,manner,0.20512820512820512,24.0,
98,en,voicing,0.6470588235294118,24.0,
99,en,place,0.08333333333333333,24.0,
100,en,sonority,0.38461538461538464,25.0,
101,en,manner,0.1794871794871795,25.0,
102,en,voicing,0.6470588235294118,25.0,
103,en,place,0.25,25.0,
104,en,sonority,0.1794871794871795,26.0,
105,en,manner,0.3076923076923077,26.0,
106,en,voicing,0.17647058823529413,26.0,
107,en,place,0.20833333333333334,26.0,
108,en,sonority,0.28205128205128205,27.0,
109,en,manner,0.23076923076923078,27.0,
110,en,voicing,0.17647058823529413,27.0,
111,en,place,0.16666666666666666,27.0,
112,en,sonority,0.3333333333333333,28.0,
113,en,manner,0.20512820512820512,28.0,
114,en,voicing,0.35294117647058826,28.0,
115,en,place,0.25,28.0,
116,en,sonority,0.46153846153846156,29.0,
117,en,manner,0.2564102564102564,29.0,
118,en,voicing,0.4117647058823529,29.0,
119,en,place,0.2916666666666667,29.0,
120,en,sonority,0.23076923076923078,30.0,
121,en,manner,0.15384615384615385,30.0,
122,en,voicing,0.4117647058823529,30.0,
123,en,place,0.16666666666666666,30.0,
124,en,sonority,0.3076923076923077,31.0,
125,en,manner,0.3333333333333333,31.0,
126,en,voicing,0.35294117647058826,31.0,
127,en,place,0.16666666666666666,31.0,
128,en,sonority,0.38461538461538464,32.0,
129,en,manner,0.20512820512820512,32.0,
130,en,voicing,0.29411764705882354,32.0,
131,en,place,0.125,32.0,
132,en,sonority,0.5128205128205128,33.0,
133,en,manner,0.23076923076923078,33.0,
134,en,voicing,0.35294117647058826,33.0,
135,en,place,0.08333333333333333,33.0,
136,en,sonority,0.23076923076923078,34.0,
137,en,manner,0.1282051282051282,34.0,
138,en,voicing,0.47058823529411764,34.0,
139,en,place,0.20833333333333334,34.0,
140,en,sonority,0.1282051282051282,35.0,
141,en,manner,0.20512820512820512,35.0,
142,en,voicing,0.35294117647058826,35.0,
143,en,place,0.2916666666666667,35.0,
144,en,sonority,0.38461538461538464,36.0,
145,en,manner,0.28205128205128205,36.0,
146,en,voicing,0.5882352941176471,36.0,
147,en,place,0.25,36.0,
148,en,sonority,0.41025641025641024,37.0,
149,en,manner,0.28205128205128205,37.0,
150,en,voicing,0.6470588235294118,37.0,
151,en,place,0.25,37.0,
152,en,sonority,0.3333333333333333,38.0,
153,en,manner,0.41025641025641024,38.0,
154,en,voicing,0.5882352941176471,38.0,
155,en,place,0.20833333333333334,38.0,
156,en,sonority,0.3333333333333333,39.0,
157,en,manner,0.2564102564102564,39.0,
158,en,voicing,0.4117647058823529,39.0,
159,en,place,0.2916666666666667,39.0,
160,en,sonority,0.23076923076923078,40.0,
161,en,manner,0.38461538461538464,40.0,
162,en,voicing,0.17647058823529413,40.0,
163,en,place,0.25,40.0,
164,en,sonority,0.38461538461538464,41.0,
165,en,manner,0.3076923076923077,41.0,
166,en,voicing,0.4117647058823529,41.0,
167,en,place,0.08333333333333333,41.0,
168,en,sonority,0.358974358974359,42.0,
169,en,manner,0.23076923076923078,42.0,
170,en,voicing,0.29411764705882354,42.0,
171,en,place,0.20833333333333334,42.0,
172,en,sonority,0.4358974358974359,43.0,
173,en,manner,0.38461538461538464,43.0,
174,en,voicing,0.23529411764705882,43.0,
175,en,place,0.3333333333333333,43.0,
176,en,sonority,0.41025641025641024,44.0,
177,en,manner,0.23076923076923078,44.0,
178,en,voicing,0.35294117647058826,44.0,
179,en,place,0.375,44.0,
180,en,sonority,0.38461538461538464,45.0,
181,en,manner,0.2564102564102564,45.0,
182,en,voicing,0.7058823529411765,45.0,
183,en,place,0.20833333333333334,45.0,
184,en,sonority,0.41025641025641024,46.0,
185,en,manner,0.358974358974359,46.0,
186,en,voicing,0.35294117647058826,46.0,
187,en,place,0.041666666666666664,46.0,
188,en,sonority,0.4358974358974359,47.0,
189,en,manner,0.20512820512820512,47.0,
190,en,voicing,0.17647058823529413,47.0,
191,en,place,0.0,47.0,
192,en,sonority,0.28205128205128205,48.0,
193,en,manner,0.23076923076923078,48.0,
194,en,voicing,0.35294117647058826,48.0,
195,en,place,0.3333333333333333,48.0,
196,en,sonority,0.41025641025641024,49.0,
197,en,manner,0.23076923076923078,49.0,
198,en,voicing,0.5882352941176471,49.0,
199,en,place,0.2916666666666667,49.0,
