,cmu,ipa,homolog,v_or_c,sonority,manner,placerough,place,voicing,position,height,voweltype,voicingpair,lang,count,select,obstruents,pca_0,pca_1,pca_2,pca_o_0,pca_o_1,pca_o_2
0,sil, - ,sil, - , - , - , - , - , - , - , - , - , - ,de,251017,False,False,-0.09032013,-0.017056927,0.08108501,-0.06702767,0.033900805,-0.016394967
1,d,d,D,consonant,1: obstruents,plosive, - ,dental/alveolar,voiced, - , - , - ,t,de,377142,False,False,0.04403001,-0.01536559,0.05886132,-0.12951167,0.07952162,-0.07119372
2,i,iː,IY,vowel,3: vowel,vowel, - , - , - ,front,close,monophthong, - ,de,294326,False,False,0.14198726,-0.03439836,-0.12893692,-0.08995989,-0.12812038,-0.123932
3,S,ʃ,SH,consonant,1: obstruents,fricative, - ,postalveolar/palatal,voiceless, - , - , - ,ʃ,de,159775,False,False,0.049369313,0.02492243,0.09398238,-0.022099642,0.0183865,-0.04686799
4,p,p,P,consonant,1: obstruents,plosive, - ,labial,voiceless, - , - , - ,p,de,120201,False,False,-0.0014738189,0.1046479,-0.0050410405,0.10029341,0.05372512,-0.04087537
5,),ɛː,),vowel,3: vowel,vowel, - , - , - ,front,mid,monophthong, - ,de,22280,False,False,-0.056578398,0.009618245,0.054585934,0.021546468,0.067154,0.08534014
6,@,ə,AH,vowel,3: vowel,vowel, - , - , - ,central,mid,monophthong, - ,de,793328,False,False,0.011107005,-0.022339262,-0.121040165,-0.018302856,-0.14694048,-0.06374906
7,r,r,R,consonant,2: nasal/approximant,approximant, - ,postalveolar/palatal, - , - , - , - , - ,de,702025,False,False,-0.052169397,0.06842518,0.008960713,-0.055851635,-0.011421713,-0.049156
8,v,v,V,consonant,1: obstruents,fricative, - ,labial,voiced, - , - , - ,f,de,197569,False,False,0.055320643,-0.0014060019,-0.014812235,-0.0043902807,-0.04458631,0.07527356
9,e,eː,EE,vowel,3: vowel,vowel, - , - , - ,front,mid,monophthong, - ,de,219011,False,False,0.021978587,0.047244806,-0.006435998,0.014094397,-0.029603168,0.024865964
10,n,n,N,consonant,2: nasal/approximant,nasal, - ,dental/alveolar, - , - , - , - , - ,de,904755,False,False,0.01206417,-0.020845845,0.0651502,-0.03240092,0.028607246,-0.17497154
11,z,z,Z,consonant,1: obstruents,fricative, - ,dental/alveolar,voiced, - , - , - ,s,de,185266,False,False,-0.072515875,0.0655562,-0.03212856,0.10157521,-0.029489594,-0.10635642
12,I,ɪ,IH,vowel,3: vowel,vowel, - , - , - ,front,close,monophthong, - ,de,387302,False,False,-0.031573202,-0.089108035,-0.0023004636,-0.12575766,-0.046369754,-0.13920517
13,x,x,X,consonant,1: obstruents,fricative, - ,postalveolar/palatal,voiceless, - , - , - , - ,de,240338,False,False,0.087752745,0.03799992,0.12178889,-0.01644804,9.9756755e-05,-0.012630653
14,E,ɛ,EH,vowel,3: vowel,vowel, - , - , - ,front,mid,monophthong, - ,de,251002,False,False,0.059301585,0.0027093487,-0.026462387,0.047090005,-0.050735757,-0.15523377
15,l,l,L,consonant,2: nasal/approximant,approximant, - ,dental/alveolar, - , - , - , - , - ,de,347748,False,False,-0.003998,0.08771357,0.015015721,0.016268749,-0.018104833,-0.059796117
16,W,aɪ̯,AI,vowel,3: vowel,vowel, - , - , - , - , - ,diphtong, - ,de,205973,False,False,0.026311079,-0.04239878,0.053113945,-0.09406243,-0.03782475,-0.061040543
17,t,t,T,consonant,1: obstruents,plosive, - ,dental/alveolar,voiceless, - , - , - ,t,de,734838,False,False,0.057934918,0.023301188,0.016218184,-0.034276616,-0.06908356,-0.0980308
18,m,m,M,consonant,2: nasal/approximant,nasal, - ,labial, - , - , - , - , - ,de,276648,False,False,0.06035679,-0.018700782,0.07979105,-0.12864389,-0.02943659,-0.059071742
19,g,ɡ,G,consonant,1: obstruents,plosive, - ,velar/uvular,voiced, - , - , - ,k,de,182517,False,False,0.06431131,0.10205643,0.06341155,0.005299177,0.09925316,0.007932691
20,s,s,S,consonant,1: obstruents,fricative, - ,dental/alveolar,voiceless, - , - , - ,s,de,353807,False,False,-0.02584291,0.14489381,0.08196369,0.10696818,0.08733941,-0.013839789
21,f,f,F,consonant,1: obstruents,fricative, - ,labial,voiceless, - , - , - ,f,de,237297,False,False,0.108905815,-0.0524078,0.028777,-0.16533083,0.011367852,-0.06270341
22,U,ʊ,UH,vowel,3: vowel,vowel, - , - , - ,back,close,monophthong, - ,de,144512,False,False,-0.072127774,0.0843158,0.08281837,0.02544431,0.015855396,0.004258916
23,sp, - ,sp, - , - , - , - , - , - , - , - , - , - ,de,332874,False,False,-0.26215634,-0.10290946,0.17769234,-0.14059702,0.121935956,0.081626065
24,h,h,HH,consonant,1: obstruents,fricative, - ,glottal,voiceless, - , - , - , - ,de,112794,False,False,-0.0056806603,-0.06016633,-0.003832668,-0.10266963,-0.07212293,-0.11603822
25,a,aː,AA,vowel,3: vowel,vowel, - , - , - ,central,open,monophthong, - ,de,188265,False,False,-0.057651423,0.02299955,-0.04211146,-0.006586209,-0.048731443,-0.074300714
26,b,b,B,consonant,1: obstruents,plosive, - ,labial,voiced, - , - , - ,p,de,173622,False,False,-0.031098496,-0.010465001,-0.029576618,-0.07815097,-0.053016257,-0.017840086
27,&,a,&,vowel,3: vowel,vowel, - , - , - ,central,open,monophthong, - ,de,376986,False,False,0.018654495,0.019068886,0.02370159,-0.04546575,0.053468782,-0.008485622
28,N,ŋ,NG,consonant,2: nasal/approximant,nasal, - ,velar/uvular, - , - , - , - , - ,de,65968,False,False,0.03229191,-0.12620866,0.039568316,-0.101888,-0.015148144,-0.05113502
29,k,k,K,consonant,1: obstruents,plosive, - ,velar/uvular,voiceless, - , - , - ,k,de,227163,False,False,-0.035201546,0.070808284,0.08820997,-0.03546305,0.059253518,0.061131164
30,j,j,Y,consonant,2: nasal/approximant,approximant, - ,postalveolar/palatal, - , - , - , - , - ,de,24693,False,False,0.05903382,-0.028787676,0.048313584,-0.025351413,0.03688546,-0.071067184
31,o,oː,OO,vowel,3: vowel,vowel, - , - , - ,back,mid,monophthong, - ,de,136113,False,False,-0.03350055,0.096247554,0.083182245,0.008963436,-0.048211087,-0.06420168
32,Y,ʏ,Y,vowel,3: vowel,vowel, - , - , - ,front,close,monophthong, - ,de,29888,False,False,0.058441207,0.06515528,0.015587132,-0.01652359,-0.0036151959,-0.00017879531
33,y,yː,y,vowel,3: vowel,vowel, - , - , - ,front,close,monophthong, - ,de,42017,False,False,-0.0034941228,0.018964365,0.071123615,-0.017213456,-0.009508428,-0.08895612
34,B,aʊ̯,AU,vowel,3: vowel,vowel, - , - , - , - , - ,diphtong, - ,de,100695,False,False,-0.048564725,-0.08131593,0.029781451,-0.12612157,0.012224443,-0.0529211
35,=,ts,=,consonant,1: obstruents,affricate, - ,dental/alveolar,voiceless, - , - , - , - ,de,142579,False,False,0.050798807,0.047740266,0.033448976,-0.047458354,0.036518205,-0.06748876
36,u,uː,UW,vowel,3: vowel,vowel, - , - , - ,back,close,monophthong, - ,de,104364,False,False,0.054030452,-0.0710172,0.0725637,-0.09376692,0.0073778336,-0.046482578
37,O,ɔ,AO,vowel,3: vowel,vowel, - , - , - ,back,mid,monophthong, - ,de,127251,False,False,-0.039358035,-0.009117275,0.0939206,0.0069235153,0.03525831,-0.023363905
