,cmu,ipa,homolog,v_or_c,sonority,manner,placerough,place,voicing,position,height,voweltype,voicingpair,lang,count,select,obstruents,pca_0,pca_1,pca_2,pca_o_0,pca_o_1,pca_o_2
0,sil, - ,sil, - , - , - , - , - , - , - , - , - , - ,de,251017,False,False,0.10087722,0.15697509,-0.12150642,0.17429572,0.05996652,-0.106867686
1,d,d,D,consonant,1: obstruents,plosive, - ,dental/alveolar,voiced, - , - , - ,t,de,377142,False,False,0.16334964,0.08265382,-0.05867053,0.23161194,0.061331496,0.07513404
2,i,iː,IY,vowel,3: vowel,vowel, - , - , - ,front,close,monophthong, - ,de,294326,False,False,0.16087772,0.08317382,-0.05894845,0.22906625,0.060311526,0.07377551
3,S,ʃ,SH,consonant,1: obstruents,fricative, - ,postalveolar/palatal,voiceless, - , - , - ,ʃ,de,159775,False,False,0.16094473,0.08295998,-0.059874237,0.22896886,0.062267385,0.07478507
4,p,p,P,consonant,1: obstruents,plosive, - ,labial,voiceless, - , - , - ,p,de,120201,False,False,0.16716896,0.08091494,-0.060554832,0.23526737,0.06246022,0.07428774
5,),ɛː,),vowel,3: vowel,vowel, - , - , - ,front,mid,monophthong, - ,de,22280,False,False,0.16793533,0.082367405,-0.059488125,0.23638207,0.061586782,0.07354522
6,@,ə,AH,vowel,3: vowel,vowel, - , - , - ,central,mid,monophthong, - ,de,793328,False,False,0.16773672,0.0824522,-0.05928953,0.23616934,0.06184364,0.074214
7,r,r,R,consonant,2: nasal/approximant,approximant, - ,postalveolar/palatal, - , - , - , - , - ,de,702025,False,False,0.16908376,0.08274011,-0.05995528,0.23742202,0.062228628,0.07433645
8,v,v,V,consonant,1: obstruents,fricative, - ,labial,voiced, - , - , - ,f,de,197569,False,False,0.1681558,0.08244698,-0.0599805,0.23636192,0.06285189,0.07519415
9,e,eː,EE,vowel,3: vowel,vowel, - , - , - ,front,mid,monophthong, - ,de,219011,False,False,0.16198489,0.08307613,-0.059349455,0.22995767,0.061894998,0.073972926
10,n,n,N,consonant,2: nasal/approximant,nasal, - ,dental/alveolar, - , - , - , - , - ,de,904755,False,False,0.16745257,0.08312354,-0.060525224,0.23582757,0.06171892,0.07285729
11,z,z,Z,consonant,1: obstruents,fricative, - ,dental/alveolar,voiced, - , - , - ,s,de,185266,False,False,0.16306071,0.08401267,-0.05969979,0.23114681,0.06297034,0.074192196
