,lang,feature,accuracy,permute,z
0,fr,sonority,0.8529411764705882,0.0,6.369765822787148
1,en,sonority,0.9487179487179487,0.0,6.133545559417047
2,fren,sonority,0.7122926093514328,0.0,5.406665210240913
3,fr,manner,0.7941176470588235,0.0,6.869741665356936
4,en,manner,0.8974358974358975,0.0,9.239415919423339
5,fren,manner,0.6202865761689291,0.0,4.720755179780019
6,fr,voicing,1.0,0.0,3.4589687833830896
7,en,voicing,1.0,0.0,3.3052222707645567
8,fren,voicing,0.9705882352941176,0.0,4.964792944130511
9,fr,place,0.7368421052631579,0.0,5.848497797687347
10,en,place,0.875,0.0,6.841542012446244
11,fren,place,0.34539473684210525,0.0,1.5729679358203117
12,fren,lang,1.0,0.0,7.7797917994897015
13,fr,sonority,0.11764705882352941,1.0,
14,en,sonority,0.3076923076923077,1.0,
15,fren,sonority,0.40912518853695323,1.0,
16,fr,manner,0.35294117647058826,1.0,
17,en,manner,0.10256410256410256,1.0,
18,fren,manner,0.302790346907994,1.0,
19,fr,voicing,0.16666666666666666,1.0,
20,en,voicing,0.5882352941176471,1.0,
21,fren,voicing,0.7573529411764706,1.0,
22,fr,place,0.10526315789473684,1.0,
23,en,place,0.4583333333333333,1.0,
24,fren,place,0.20942982456140352,1.0,
25,fren,lang,0.5753424657534246,1.0,
26,fr,sonority,0.38235294117647056,2.0,
27,en,sonority,0.3333333333333333,2.0,
28,fren,sonority,0.330316742081448,2.0,
29,fr,manner,0.29411764705882354,2.0,
30,en,manner,0.23076923076923078,2.0,
31,fren,manner,0.1779788838612368,2.0,
32,fr,voicing,0.4166666666666667,2.0,
33,en,voicing,0.23529411764705882,2.0,
34,fren,voicing,0.4142156862745098,2.0,
35,fr,place,0.21052631578947367,2.0,
36,en,place,0.0,2.0,
37,fren,place,0.17214912280701755,2.0,
38,fren,lang,0.5342465753424658,2.0,
39,fr,sonority,0.29411764705882354,3.0,
40,en,sonority,0.4358974358974359,3.0,
41,fren,sonority,0.3706636500754148,3.0,
42,fr,manner,0.29411764705882354,3.0,
43,en,manner,0.3076923076923077,3.0,
44,fren,manner,0.2292609351432881,3.0,
45,fr,voicing,0.5833333333333334,3.0,
46,en,voicing,0.7058823529411765,3.0,
47,fren,voicing,0.5147058823529411,3.0,
48,fr,place,0.21052631578947367,3.0,
49,en,place,0.20833333333333334,3.0,
50,fren,place,0.1995614035087719,3.0,
51,fren,lang,0.5068493150684932,3.0,
52,fr,sonority,0.35294117647058826,4.0,
53,en,sonority,0.6410256410256411,4.0,
54,fren,sonority,0.41289592760180993,4.0,
55,fr,manner,0.3235294117647059,4.0,
56,en,manner,0.28205128205128205,4.0,
57,fren,manner,0.17420814479638008,4.0,
58,fr,voicing,0.25,4.0,
59,en,voicing,0.4117647058823529,4.0,
60,fren,voicing,0.3970588235294118,4.0,
61,fr,place,0.10526315789473684,4.0,
62,en,place,0.20833333333333334,4.0,
63,fren,place,0.20942982456140352,4.0,
64,fren,lang,0.4383561643835616,4.0,
65,fr,sonority,0.35294117647058826,5.0,
66,en,sonority,0.41025641025641024,5.0,
67,fren,sonority,0.42571644042232276,5.0,
68,fr,manner,0.2647058823529412,5.0,
69,en,manner,0.28205128205128205,5.0,
70,fren,manner,0.2824283559577677,5.0,
71,fr,voicing,0.5,5.0,
72,en,voicing,0.5882352941176471,5.0,
73,fren,voicing,0.38480392156862747,5.0,
74,fr,place,0.10526315789473684,5.0,
75,en,place,0.16666666666666666,5.0,
76,fren,place,0.20942982456140352,5.0,
77,fren,lang,0.6164383561643836,5.0,
78,fr,sonority,0.35294117647058826,6.0,
79,en,sonority,0.38461538461538464,6.0,
80,fren,sonority,0.21644042232277527,6.0,
81,fr,manner,0.4117647058823529,6.0,
82,en,manner,0.358974358974359,6.0,
83,fren,manner,0.40007541478129716,6.0,
84,fr,voicing,0.5,6.0,
85,en,voicing,0.23529411764705882,6.0,
86,fren,voicing,0.4852941176470588,6.0,
87,fr,place,0.10526315789473684,6.0,
88,en,place,0.25,6.0,
89,fren,place,0.14144736842105263,6.0,
90,fren,lang,0.5205479452054794,6.0,
91,fr,sonority,0.38235294117647056,7.0,
92,en,sonority,0.38461538461538464,7.0,
93,fren,sonority,0.44419306184012064,7.0,
94,fr,manner,0.29411764705882354,7.0,
95,en,manner,0.2564102564102564,7.0,
96,fren,manner,0.36877828054298645,7.0,
