,lang,feature,accuracy,permute,z
0,fr,sonority,0.8823529411764706,0.0,5.204945371851848
1,en,sonority,0.9230769230769231,0.0,6.858097259176089
2,fren,sonority,0.889894419306184,0.0,10.80888920018124
3,fr,manner,0.8235294117647058,0.0,6.201080347362366
4,en,manner,0.8717948717948718,0.0,8.797433114582768
5,fren,manner,0.8239064856711915,0.0,10.032709394881499
6,fr,voicing,1.0,0.0,3.9289673464228487
7,en,voicing,1.0,0.0,3.615269312474801
8,fren,voicing,1.0,0.0,3.5730746065244228
9,fr,place,0.7368421052631579,0.0,5.384755581260319
10,en,place,0.7916666666666666,0.0,5.500680121678094
11,fren,place,0.9320175438596491,0.0,8.427578678198834
12,fren,lang,1.0,0.0,8.054516740514268
13,fr,sonority,0.29411764705882354,1.0,
14,en,sonority,0.3076923076923077,1.0,
15,fren,sonority,0.3706636500754148,1.0,
16,fr,manner,0.3235294117647059,1.0,
17,en,manner,0.28205128205128205,1.0,
18,fren,manner,0.24208144796380093,1.0,
19,fr,voicing,0.3333333333333333,1.0,
20,en,voicing,0.29411764705882354,1.0,
21,fren,voicing,0.2303921568627451,1.0,
22,fr,place,0.10526315789473684,1.0,
23,en,place,0.16666666666666666,1.0,
24,fren,place,0.3508771929824561,1.0,
25,fren,lang,0.4520547945205479,1.0,
26,fr,sonority,0.20588235294117646,2.0,
27,en,sonority,0.3333333333333333,2.0,
28,fren,sonority,0.3706636500754148,2.0,
29,fr,manner,0.4411764705882353,2.0,
30,en,manner,0.1282051282051282,2.0,
31,fren,manner,0.23868778280542988,2.0,
32,fr,voicing,0.6666666666666666,2.0,
33,en,voicing,0.47058823529411764,2.0,
34,fren,voicing,0.4730392156862745,2.0,
35,fr,place,0.15789473684210525,2.0,
36,en,place,0.125,2.0,
37,fren,place,0.2982456140350877,2.0,
38,fren,lang,0.4520547945205479,2.0,
39,fr,sonority,0.4117647058823529,3.0,
40,en,sonority,0.20512820512820512,3.0,
41,fren,sonority,0.35407239819004527,3.0,
42,fr,manner,0.23529411764705882,3.0,
43,en,manner,0.23076923076923078,3.0,
44,fren,manner,0.2292609351432881,3.0,
45,fr,voicing,0.16666666666666666,3.0,
46,en,voicing,0.23529411764705882,3.0,
47,fren,voicing,0.42647058823529416,3.0,
