,time,word,phoneme,pca_0,pca_1,pca_2
0,0.0,4004,64,-0.025640861783935754,0.09872968019693244,-0.05190220097364561
1,0.01,4004,64,-0.05036021653875111,0.311839879838289,0.025582901151003153
2,0.02,4004,64,-0.07400792596456296,0.5806583863615492,0.19721920217030528
3,0.03,4004,64,-0.10753596042341286,0.759426850345446,0.3424671043920011
4,0.04,4004,64,-0.14324394385401895,0.7946762820183126,0.40780052570358094
5,0.05,4004,64,-0.17538472903755165,0.7391155712277122,0.4051200341354003
6,0.06,4004,64,-0.2073808951706913,0.6186084829290154,0.38299716207506795
7,0.07,4004,64,-0.2270588295342371,0.5027683637014968,0.2650433568676212
8,0.08,4004,64,-0.25638863362117803,0.4050652079764216,0.12239582397514237
9,0.09,4004,64,-0.29219835372553,0.3093399116047255,-0.008611146107587113
10,0.1,4004,64,-0.33692125730865785,0.2409448637981664,-0.08103404069655921
11,0.11,4004,64,-0.3639848808191296,0.15762176719874513,-0.21812348681088578
12,0.12,5503,86,-0.390640022171334,0.028704521468841004,-0.5051518696954764
13,0.13,5503,86,-0.41055672926303544,-0.09632315830296262,-0.7191987195129091
14,0.14,5503,86,-0.41923164187270995,-0.218500055574938,-0.8006305591125431
15,0.15,5503,86,-0.4053720543585809,-0.2843818562056975,-0.7222045807925946
16,0.16,5503,86,-0.367228252319477,-0.3513819406406393,-0.8566892245940937
17,0.17,5503,86,-0.34803193598599746,-0.30216788684348106,-0.988501993744981
18,0.18,5503,86,-0.3373830520705083,-0.1214148381180089,-1.0322366030668075
19,0.19,5503,86,-0.33025071428202246,0.0928883079288671,-0.8444308162611796
20,0.2,5503,73,-0.32940130992209904,0.28136463799201317,-0.6874559863222596
21,0.21,5503,73,-0.3670032361777112,0.3639293868004728,-0.5341213020627358
22,0.22,5503,73,-0.41295774394072315,0.4524347571854274,-0.40620589697045695
23,0.23,5503,73,-0.44844606019645306,0.5028888581799128,-0.23075525118253012
24,0.24,5503,73,-0.4485782872723564,0.5524217306917267,-0.06312578588075704
25,0.25,5503,73,-0.43241207372533963,0.575751939275752,-0.03222796231121042
26,0.26,5503,84,-0.41734228979106225,0.5814846549795982,-0.0571356096313615
27,0.27,5503,84,-0.41732393024452413,0.6434790338678874,-0.18899595305414574
28,0.28,5503,84,-0.4473767609250007,0.6714804791566913,-0.2650211461058106
29,0.29,5503,84,-0.48253012772464754,0.7202964445289362,-0.3366328212398825
30,0.3,5503,84,-0.5053998624292744,0.6946087180405591,-0.38197629861340343
31,0.31,5503,84,-0.5113848174994944,0.655473780568135,-0.38836689112649114
32,0.32,5503,84,-0.508972025326522,0.6017366539656637,-0.3747249885086589
33,0.33,5503,84,-0.5224947680349812,0.5954676094900262,-0.3699365421866039
34,0.34,5503,84,-0.5541086099761665,0.6510424317866,-0.2830882884295125
35,0.35000000000000003,5503,84,-0.5876289625857395,0.7591347653417386,-0.1499006977039873
36,0.36,5503,84,-0.6008538376386514,0.8679145869908925,0.0720349063960135
37,0.37,5503,84,-0.6096023047732291,0.9492930619927634,0.23849123850960252
38,0.38,4062,55,-0.6136091028771717,0.95199104299268,0.3694486747988337
39,0.39,4062,55,-0.6119635180155023,0.9360156011075375,0.44225668464808665
40,0.4,4062,55,-0.6017438327594833,0.9159740709151707,0.538383866228032
41,0.41000000000000003,4062,55,-0.5860298207271668,0.9081699974717223,0.5495497680568682
42,0.42,4062,55,-0.5867217489798047,0.8449996705585849,0.4926352557674599
43,0.43,4062,55,-0.6010600487880006,0.7365872089898239,0.3887918296324233
44,0.44,4062,55,-0.6178967985711132,0.585293736913743,0.3071938438455125
45,0.45,4062,55,-0.6160983492709723,0.4646811850280448,0.26125862237414016
46,0.46,4062,55,-0.6061494679058992,0.33169094458358456,0.183004361889618
47,0.47000000000000003,4062,55,-0.5871582618513722,0.07534462004557427,0.10241504354534836
48,0.48,4062,80,-0.5713546718090332,-0.1906363985720405,0.010326943367840302
49,0.49,4062,80,-0.5497843085598774,-0.43296181934627564,-0.1492542731002972
50,0.5,4062,80,-0.5493254445939633,-0.49387693904046204,-0.34932577332154835
51,0.51,4062,80,-0.5563650045398847,-0.5216403611279898,-0.5141937596920054
