,cmu,ipa,homolog,v_or_c,sonority,manner,placerough,place,voicing,position,height,voweltype,voicingpair,lang,count,select,obstruents,pca_0,pca_1,pca_2,pca_o_0,pca_o_1,pca_o_2
0,sil, - ,sil, - , - , - , - , - , - , - , - , - , - ,de,251017,False,False,0.20343831,-0.05551365,0.010962354,0.2841389,0.023122735,-0.12533966
1,d,d,D,consonant,1: obstruents,plosive, - ,dental/alveolar,voiced, - , - , - ,t,de,377142,False,False,0.014351716,0.04655768,0.017328478,0.09283783,0.04644561,0.016673341
2,i,iː,IY,vowel,3: vowel,vowel, - , - , - ,front,close,monophthong, - ,de,294326,False,False,0.012151828,0.047482066,0.017689722,0.09054535,0.046576373,0.017478872
3,S,ʃ,SH,consonant,1: obstruents,fricative, - ,postalveolar/palatal,voiceless, - , - , - ,ʃ,de,159775,False,False,0.008842347,0.047745757,0.01716674,0.0873903,0.04706759,0.018174363
4,p,p,P,consonant,1: obstruents,plosive, - ,labial,voiceless, - , - , - ,p,de,120201,False,False,0.01397752,0.04717967,0.016953548,0.09244373,0.046974264,0.017720895
5,),ɛː,),vowel,3: vowel,vowel, - , - , - ,front,mid,monophthong, - ,de,22280,False,False,0.011170935,0.047059715,0.016450442,0.08955657,0.04702174,0.017858054
6,@,ə,AH,vowel,3: vowel,vowel, - , - , - ,central,mid,monophthong, - ,de,793328,False,False,0.012683412,0.047270782,0.01691134,0.0911099,0.04709421,0.017107025
7,r,r,R,consonant,2: nasal/approximant,approximant, - ,postalveolar/palatal, - , - , - , - , - ,de,702025,False,False,0.014433062,0.04696063,0.017297376,0.09291913,0.047035776,0.016733129
8,v,v,V,consonant,1: obstruents,fricative, - ,labial,voiced, - , - , - ,f,de,197569,False,False,0.013338719,0.04776086,0.017141063,0.091751955,0.046995997,0.017311402
9,e,eː,EE,vowel,3: vowel,vowel, - , - , - ,front,mid,monophthong, - ,de,219011,False,False,0.013239328,0.04767102,0.01712658,0.09152431,0.047286063,0.018174678
10,n,n,N,consonant,2: nasal/approximant,nasal, - ,dental/alveolar, - , - , - , - , - ,de,904755,False,False,0.016025769,0.047102228,0.016470592,0.09445143,0.047165312,0.016873902
11,z,z,Z,consonant,1: obstruents,fricative, - ,dental/alveolar,voiced, - , - , - ,s,de,185266,False,False,0.014138669,0.046783872,0.017693002,0.09250457,0.046038806,0.01782338
12,I,ɪ,IH,vowel,3: vowel,vowel, - , - , - ,front,close,monophthong, - ,de,387302,False,False,0.012912232,0.04727178,0.017352633,0.09124036,0.04671792,0.016780756
13,x,x,X,consonant,1: obstruents,fricative, - ,postalveolar/palatal,voiceless, - , - , - , - ,de,240338,False,False,0.0125308335,0.04721591,0.016379861,0.09096879,0.047679015,0.017132957
