,cmu,ipa,homolog,v_or_c,sonority,manner,placerough,place,voicing,position,height,voweltype,voicingpair,lang,count,select,obstruents,pca_0,pca_1,pca_2,pca_o_0,pca_o_1,pca_o_2
0,sil, - ,sil, - , - , - , - , - , - , - , - , - , - ,de,251017,False,False,-0.10317701,0.07392289,0.041529298,-0.17538108,0.038729087,-0.04435497
1,d,d,D,consonant,1: obstruents,plosive, - ,dental/alveolar,voiced, - , - , - ,t,de,377142,False,False,-0.13941628,0.04259934,-0.076653786,-0.22224453,0.09837025,-0.17347915
2,i,iː,IY,vowel,3: vowel,vowel, - , - , - ,front,close,monophthong, - ,de,294326,False,False,-0.13918331,0.042594213,-0.07500785,-0.22194655,0.098946445,-0.1729147
3,S,ʃ,SH,consonant,1: obstruents,fricative, - ,postalveolar/palatal,voiceless, - , - , - ,ʃ,de,159775,False,False,-0.13899738,0.042531326,-0.074287854,-0.22182563,0.09821864,-0.1733577
4,p,p,P,consonant,1: obstruents,plosive, - ,labial,voiceless, - , - , - ,p,de,120201,False,False,-0.13897267,0.042498354,-0.07600215,-0.22188902,0.09804294,-0.17417455
5,),ɛː,),vowel,3: vowel,vowel, - , - , - ,front,mid,monophthong, - ,de,22280,False,False,-0.14061327,0.04023994,-0.07517875,-0.22360913,0.09765526,-0.17362735
6,@,ə,AH,vowel,3: vowel,vowel, - , - , - ,central,mid,monophthong, - ,de,793328,False,False,-0.14050622,0.042174403,-0.07595868,-0.22327144,0.09861805,-0.17438355
7,r,r,R,consonant,2: nasal/approximant,approximant, - ,postalveolar/palatal, - , - , - , - , - ,de,702025,False,False,-0.13942829,0.04133875,-0.075253226,-0.22243609,0.09850512,-0.17398956
8,v,v,V,consonant,1: obstruents,fricative, - ,labial,voiced, - , - , - ,f,de,197569,False,False,-0.1377964,0.04161705,-0.074979916,-0.22081941,0.09809559,-0.17353925
9,e,eː,EE,vowel,3: vowel,vowel, - , - , - ,front,mid,monophthong, - ,de,219011,False,False,-0.14064607,0.042155467,-0.07401964,-0.22355595,0.09819437,-0.17293268
10,n,n,N,consonant,2: nasal/approximant,nasal, - ,dental/alveolar, - , - , - , - , - ,de,904755,False,False,-0.13818417,0.04209724,-0.077068195,-0.2211306,0.09831307,-0.17554992
11,z,z,Z,consonant,1: obstruents,fricative, - ,dental/alveolar,voiced, - , - , - ,s,de,185266,False,False,-0.14159232,0.040520806,-0.07628689,-0.22466019,0.097695194,-0.17322375
12,I,ɪ,IH,vowel,3: vowel,vowel, - , - , - ,front,close,monophthong, - ,de,387302,False,False,-0.13655895,0.040944938,-0.077593856,-0.21949828,0.09779716,-0.1759059
13,x,x,X,consonant,1: obstruents,fricative, - ,postalveolar/palatal,voiceless, - , - , - , - ,de,240338,False,False,-0.13624203,0.041251175,-0.07570939,-0.21910618,0.097932674,-0.17428598
14,E,ɛ,EH,vowel,3: vowel,vowel, - , - , - ,front,mid,monophthong, - ,de,251002,False,False,-0.1410343,0.04096976,-0.074859984,-0.22417714,0.09770303,-0.17403893
15,l,l,L,consonant,2: nasal/approximant,approximant, - ,dental/alveolar, - , - , - , - , - ,de,347748,False,False,-0.13869652,0.043046243,-0.075117245,-0.2215465,0.099681206,-0.1741701
16,W,aɪ̯,AI,vowel,3: vowel,vowel, - , - , - , - , - ,diphtong, - ,de,205973,False,False,-0.13943154,0.042281143,-0.07307189,-0.22224076,0.09828418,-0.17305756
17,t,t,T,consonant,1: obstruents,plosive, - ,dental/alveolar,voiceless, - , - , - ,t,de,734838,False,False,-0.13983637,0.04276282,-0.07629684,-0.22271454,0.099471994,-0.17420878
18,m,m,M,consonant,2: nasal/approximant,nasal, - ,labial, - , - , - , - , - ,de,276648,False,False,-0.13704196,0.04193452,-0.074553125,-0.21984303,0.098385,-0.17307752
19,g,ɡ,G,consonant,1: obstruents,plosive, - ,velar/uvular,voiced, - , - , - ,k,de,182517,False,False,-0.13979602,0.042506732,-0.07405842,-0.22251543,0.09904773,-0.17286037
20,s,s,S,consonant,1: obstruents,fricative, - ,dental/alveolar,voiceless, - , - , - ,s,de,353807,False,False,-0.13842078,0.040406667,-0.07531847,-0.22116509,0.096756235,-0.17479731
21,f,f,F,consonant,1: obstruents,fricative, - ,labial,voiceless, - , - , - ,f,de,237297,False,False,-0.13754523,0.04064157,-0.07658171,-0.2204378,0.09699757,-0.17410338
22,U,ʊ,UH,vowel,3: vowel,vowel, - , - , - ,back,close,monophthong, - ,de,144512,False,False,-0.13758522,0.040065095,-0.07533724,-0.2205145,0.097097635,-0.1730396
23,sp, - ,sp, - , - , - , - , - , - , - , - , - , - ,de,332874,False,False,-0.088536024,0.18565577,0.20748247,-0.15754229,-0.11227237,0.18449304
24,h,h,HH,consonant,1: obstruents,fricative, - ,glottal,voiceless, - , - , - , - ,de,112794,False,False,-0.13849026,0.042924013,-0.074515365,-0.22126131,0.099375896,-0.17343336
25,a,aː,AA,vowel,3: vowel,vowel, - , - , - ,central,open,monophthong, - ,de,188265,False,False,-0.13794248,0.041395895,-0.07600603,-0.22084403,0.098858856,-0.17466943
26,b,b,B,consonant,1: obstruents,plosive, - ,labial,voiced, - , - , - ,p,de,173622,False,False,-0.13931483,0.041125804,-0.07386159,-0.22214603,0.09807422,-0.17216076
27,&,a,&,vowel,3: vowel,vowel, - , - , - ,central,open,monophthong, - ,de,376986,False,False,-0.14000872,0.04167337,-0.07636979,-0.22297339,0.098545216,-0.17470203
28,N,ŋ,NG,consonant,2: nasal/approximant,nasal, - ,velar/uvular, - , - , - , - , - ,de,65968,False,False,-0.1403796,0.042032074,-0.07665844,-0.22326094,0.09845299,-0.1733976
