,lang,feature,accuracy,permute,z
0,fr,sonority,0.9117647058823529,0.0,5.636214801906778
1,en,sonority,0.8974358974358975,0.0,7.073723113428036
2,fren,sonority,0.8604826546003017,0.0,7.882084993920765
3,fr,manner,0.8823529411764706,0.0,8.100501674686601
4,en,manner,0.8717948717948718,0.0,7.342731996072321
5,fren,manner,0.6142533936651584,0.0,4.4538140929358905
6,fr,voicing,1.0,0.0,2.2947106100930257
7,en,voicing,0.9411764705882353,0.0,2.97840119412411
8,fren,voicing,0.9705882352941176,0.0,4.833814942966139
9,fr,place,0.8421052631578947,0.0,5.8392775825664
10,en,place,0.75,0.0,5.704804031938448
11,fren,place,0.7796052631578947,0.0,7.495700596289371
12,fren,lang,1.0,0.0,7.23741969745375
13,fr,sonority,0.4117647058823529,1.0,
14,en,sonority,0.1794871794871795,1.0,
15,fren,sonority,0.20927601809954752,1.0,
16,fr,manner,0.2647058823529412,1.0,
17,en,manner,0.1794871794871795,1.0,
18,fren,manner,0.22209653092006032,1.0,
19,fr,voicing,0.3333333333333333,1.0,
20,en,voicing,0.29411764705882354,1.0,
21,fren,voicing,0.6446078431372549,1.0,
22,fr,place,0.10526315789473684,1.0,
23,en,place,0.08333333333333333,1.0,
24,fren,place,0.2357456140350877,1.0,
25,fren,lang,0.410958904109589,1.0,
26,fr,sonority,0.5294117647058824,2.0,
27,en,sonority,0.28205128205128205,2.0,
28,fren,sonority,0.28092006033182504,2.0,
29,fr,manner,0.3235294117647059,2.0,
30,en,manner,0.23076923076923078,2.0,
31,fren,manner,0.10822021116138764,2.0,
32,fr,voicing,0.16666666666666666,2.0,
33,en,voicing,0.5294117647058824,2.0,
34,fren,voicing,0.45588235294117646,2.0,
35,fr,place,0.10526315789473684,2.0,
36,en,place,0.25,2.0,
37,fren,place,0.29276315789473684,2.0,
38,fren,lang,0.4657534246575342,2.0,
39,fr,sonority,0.3235294117647059,3.0,
40,en,sonority,0.48717948717948717,3.0,
41,fren,sonority,0.37254901960784315,3.0,
42,fr,manner,0.2647058823529412,3.0,
43,en,manner,0.3076923076923077,3.0,
44,fren,manner,0.22586726998491705,3.0,
45,fr,voicing,0.3333333333333333,3.0,
46,en,voicing,0.23529411764705882,3.0,
47,fren,voicing,0.45588235294117646,3.0,
48,fr,place,0.3157894736842105,3.0,
49,en,place,0.25,3.0,
50,fren,place,0.29276315789473684,3.0,
51,fren,lang,0.4246575342465753,3.0,
