,lang,feature,accuracy,permute,epoch,lang_train,init,num_samples
0,en,sonority,0.3333333333333333,0.0,0,en,none,499
1,fr,sonority,0.4117647058823529,0.0,0,en,none,499
2,enfr,sonority,0.36877828054298645,0.0,0,en,none,499
3,en,manner,0.38461538461538464,0.0,0,en,none,499
4,fr,manner,0.4411764705882353,0.0,0,en,none,499
5,enfr,manner,0.41289592760180993,0.0,0,en,none,499
6,en,voicing,0.29411764705882354,0.0,0,en,none,499
7,fr,voicing,0.0,0.0,0,en,none,499
8,enfr,voicing,0.5147058823529411,0.0,0,en,none,499
9,en,place,0.08333333333333333,0.0,0,en,none,499
10,fr,place,0.10526315789473684,0.0,0,en,none,499
11,enfr,place,0.30372807017543857,0.0,0,en,none,499
12,enfr,lang,0.8493150684931506,0.0,0,en,none,499
13,en,sonority,0.48717948717948717,0.0,1,en,none,1071
14,fr,sonority,0.4117647058823529,0.0,1,en,none,1071
15,enfr,sonority,0.36877828054298645,0.0,1,en,none,1071
16,en,manner,0.38461538461538464,0.0,1,en,none,1071
17,fr,manner,0.4411764705882353,0.0,1,en,none,1071
18,enfr,manner,0.41289592760180993,0.0,1,en,none,1071
19,en,voicing,0.29411764705882354,0.0,1,en,none,1071
20,fr,voicing,0.0,0.0,1,en,none,1071
21,enfr,voicing,0.5269607843137255,0.0,1,en,none,1071
22,en,place,0.08333333333333333,0.0,1,en,none,1071
23,fr,place,0.10526315789473684,0.0,1,en,none,1071
24,enfr,place,0.2510964912280702,0.0,1,en,none,1071
25,enfr,lang,0.9726027397260274,0.0,1,en,none,1071
26,en,sonority,0.6923076923076923,0.0,2,en,none,1727
27,fr,sonority,0.38235294117647056,0.0,2,en,none,1727
28,enfr,sonority,0.36877828054298645,0.0,2,en,none,1727
29,en,manner,0.41025641025641024,0.0,2,en,none,1727
30,fr,manner,0.4411764705882353,0.0,2,en,none,1727
31,enfr,manner,0.41289592760180993,0.0,2,en,none,1727
32,en,voicing,0.4117647058823529,0.0,2,en,none,1727
33,fr,voicing,0.0,0.0,2,en,none,1727
34,enfr,voicing,0.45588235294117646,0.0,2,en,none,1727
35,en,place,0.08333333333333333,0.0,2,en,none,1727
36,fr,place,0.10526315789473684,0.0,2,en,none,1727
37,enfr,place,0.2510964912280702,0.0,2,en,none,1727
38,enfr,lang,0.9863013698630136,0.0,2,en,none,1727
39,en,sonority,0.717948717948718,0.0,3,en,none,2478
40,fr,sonority,0.38235294117647056,0.0,3,en,none,2478
41,enfr,sonority,0.36877828054298645,0.0,3,en,none,2478
42,en,manner,0.4358974358974359,0.0,3,en,none,2478
43,fr,manner,0.4411764705882353,0.0,3,en,none,2478
44,enfr,manner,0.3981900452488688,0.0,3,en,none,2478
45,en,voicing,0.35294117647058826,0.0,3,en,none,2478
46,fr,voicing,0.0,0.0,3,en,none,2478
47,enfr,voicing,0.4142156862745098,0.0,3,en,none,2478
48,en,place,0.08333333333333333,0.0,3,en,none,2478
49,fr,place,0.10526315789473684,0.0,3,en,none,2478
50,enfr,place,0.2510964912280702,0.0,3,en,none,2478
51,enfr,lang,0.9863013698630136,0.0,3,en,none,2478
52,en,sonority,0.7692307692307693,0.0,4,en,none,3338
53,fr,sonority,0.38235294117647056,0.0,4,en,none,3338
54,enfr,sonority,0.36877828054298645,0.0,4,en,none,3338
55,en,manner,0.5128205128205128,0.0,4,en,none,3338
56,fr,manner,0.4411764705882353,0.0,4,en,none,3338
57,enfr,manner,0.41289592760180993,0.0,4,en,none,3338
58,en,voicing,0.47058823529411764,0.0,4,en,none,3338
59,fr,voicing,0.0,0.0,4,en,none,3338
60,enfr,voicing,0.4142156862745098,0.0,4,en,none,3338
61,en,place,0.08333333333333333,0.0,4,en,none,3338
62,fr,place,0.10526315789473684,0.0,4,en,none,3338
63,enfr,place,0.2510964912280702,0.0,4,en,none,3338
64,enfr,lang,0.9863013698630136,0.0,4,en,none,3338
65,en,sonority,0.7948717948717948,0.0,5,en,none,4324
66,fr,sonority,0.38235294117647056,0.0,5,en,none,4324
67,enfr,sonority,0.36877828054298645,0.0,5,en,none,4324
68,en,manner,0.5128205128205128,0.0,5,en,none,4324
69,fr,manner,0.4411764705882353,0.0,5,en,none,4324
70,enfr,manner,0.41289592760180993,0.0,5,en,none,4324
71,en,voicing,0.47058823529411764,0.0,5,en,none,4324
72,fr,voicing,0.0,0.0,5,en,none,4324
73,enfr,voicing,0.45588235294117646,0.0,5,en,none,4324
74,en,place,0.25,0.0,5,en,none,4324
75,fr,place,0.10526315789473684,0.0,5,en,none,4324
76,enfr,place,0.2510964912280702,0.0,5,en,none,4324
77,enfr,lang,0.9863013698630136,0.0,5,en,none,4324
78,en,sonority,0.7948717948717948,0.0,6,en,none,5453
79,fr,sonority,0.38235294117647056,0.0,6,en,none,5453
80,enfr,sonority,0.36877828054298645,0.0,6,en,none,5453
81,en,manner,0.5128205128205128,0.0,6,en,none,5453
82,fr,manner,0.4411764705882353,0.0,6,en,none,5453
83,enfr,manner,0.41289592760180993,0.0,6,en,none,5453
84,en,voicing,0.47058823529411764,0.0,6,en,none,5453
85,fr,voicing,0.0,0.0,6,en,none,5453
86,enfr,voicing,0.45588235294117646,0.0,6,en,none,5453
87,en,place,0.2916666666666667,0.0,6,en,none,5453
88,fr,place,0.10526315789473684,0.0,6,en,none,5453
89,enfr,place,0.2510964912280702,0.0,6,en,none,5453
90,enfr,lang,0.9863013698630136,0.0,6,en,none,5453
91,en,sonority,0.7948717948717948,0.0,7,en,none,6747
92,fr,sonority,0.38235294117647056,0.0,7,en,none,6747
93,enfr,sonority,0.35407239819004527,0.0,7,en,none,6747
94,en,manner,0.5128205128205128,0.0,7,en,none,6747
95,fr,manner,0.4411764705882353,0.0,7,en,none,6747
96,enfr,manner,0.41289592760180993,0.0,7,en,none,6747
97,en,voicing,0.47058823529411764,0.0,7,en,none,6747
98,fr,voicing,0.0,0.0,7,en,none,6747
99,enfr,voicing,0.45588235294117646,0.0,7,en,none,6747
100,en,place,0.4166666666666667,0.0,7,en,none,6747
101,fr,place,0.10526315789473684,0.0,7,en,none,6747
102,enfr,place,0.2510964912280702,0.0,7,en,none,6747
103,enfr,lang,0.9863013698630136,0.0,7,en,none,6747
104,en,sonority,0.7948717948717948,0.0,8,en,none,8229
105,fr,sonority,0.38235294117647056,0.0,8,en,none,8229
106,enfr,sonority,0.35407239819004527,0.0,8,en,none,8229
107,en,manner,0.5384615384615384,0.0,8,en,none,8229
108,fr,manner,0.4411764705882353,0.0,8,en,none,8229
109,enfr,manner,0.41289592760180993,0.0,8,en,none,8229
110,en,voicing,0.5882352941176471,0.0,8,en,none,8229
111,fr,voicing,0.0,0.0,8,en,none,8229
112,enfr,voicing,0.45588235294117646,0.0,8,en,none,8229
113,en,place,0.4583333333333333,0.0,8,en,none,8229
114,fr,place,0.10526315789473684,0.0,8,en,none,8229
115,enfr,place,0.2510964912280702,0.0,8,en,none,8229
116,enfr,lang,0.9863013698630136,0.0,8,en,none,8229
117,en,sonority,0.8205128205128205,0.0,9,en,none,9927
118,fr,sonority,0.38235294117647056,0.0,9,en,none,9927
119,enfr,sonority,0.36877828054298645,0.0,9,en,none,9927
120,en,manner,0.5384615384615384,0.0,9,en,none,9927
121,fr,manner,0.4411764705882353,0.0,9,en,none,9927
122,enfr,manner,0.41289592760180993,0.0,9,en,none,9927
123,en,voicing,0.5882352941176471,0.0,9,en,none,9927
124,fr,voicing,0.0,0.0,9,en,none,9927
125,enfr,voicing,0.4852941176470588,0.0,9,en,none,9927
126,en,place,0.4583333333333333,0.0,9,en,none,9927
127,fr,place,0.10526315789473684,0.0,9,en,none,9927
128,enfr,place,0.2510964912280702,0.0,9,en,none,9927
129,enfr,lang,0.9863013698630136,0.0,9,en,none,9927
130,en,sonority,0.8205128205128205,0.0,10,en,none,11872
131,fr,sonority,0.38235294117647056,0.0,10,en,none,11872
132,enfr,sonority,0.36877828054298645,0.0,10,en,none,11872
133,en,manner,0.5641025641025641,0.0,10,en,none,11872
134,fr,manner,0.4411764705882353,0.0,10,en,none,11872
135,enfr,manner,0.3981900452488688,0.0,10,en,none,11872
136,en,voicing,0.5882352941176471,0.0,10,en,none,11872
137,fr,voicing,0.0,0.0,10,en,none,11872
138,enfr,voicing,0.4852941176470588,0.0,10,en,none,11872
139,en,place,0.4583333333333333,0.0,10,en,none,11872
140,fr,place,0.10526315789473684,0.0,10,en,none,11872
141,enfr,place,0.2510964912280702,0.0,10,en,none,11872
142,enfr,lang,0.9863013698630136,0.0,10,en,none,11872
143,en,sonority,0.8461538461538461,0.0,11,en,none,14100
144,fr,sonority,0.38235294117647056,0.0,11,en,none,14100
145,enfr,sonority,0.36877828054298645,0.0,11,en,none,14100
146,en,manner,0.5897435897435898,0.0,11,en,none,14100
147,fr,manner,0.4411764705882353,0.0,11,en,none,14100
148,enfr,manner,0.3981900452488688,0.0,11,en,none,14100
149,en,voicing,0.7058823529411765,0.0,11,en,none,14100
150,fr,voicing,0.0,0.0,11,en,none,14100
151,enfr,voicing,0.4852941176470588,0.0,11,en,none,14100
